,label,start,end,context,text,source,article_id
0,Repetition,861,882,"Soon after the photos were leaked, Twitter was abuzz with chatter referencing the paper, with people spreading cover-up conspiracies and rumors that it was a suicide note.",it was a suicide note,train,696246189
1,"Whataboutism,Straw_Men,Red_Herring",2552,2645,"While officials did not reveal the woman’s name, they did tell reporters she was a prostitute.","While officials did not reveal the woman’s name, they did tell reporters she was a prostitute",train,696246189
2,Repetition,2848,2898,They believe he may have had an accomplice based on the elaborate planning needed to undertake such a massacre and the fact that some ammunition was purchased under someone else’s name.,ammunition was purchased under someone else’s name,train,696246189
3,Repetition,3236,3277,"Officials also believe he had help because of the amount of guns in his hotel room, and because some of the ammo was bought under someone else’s name.”",ammo was bought under someone else’s name,train,696246189
4,Appeal_to_fear-prejudice,81,110,"Don't say you were not warned, America.",Don't say you were not warned,train,755459860
5,Flag-Waving,112,119,"Don't say you were not warned, America.",America,train,755459860
6,Loaded_Language,345,352,I despise Islam and I despise the ideology of Muhammad and his devout followers.,despise,train,755459860
7,Repetition,365,372,I despise Islam and I despise the ideology of Muhammad and his devout followers.,despise,train,755459860
8,Loaded_Language,652,661,"However, the US seems hell-bent on continuing to put its nose into other countries politics, including seeking to change its government while hypocritically pointing at other countries for trying to manipulate our own political system.",hell-bent,train,755459860
9,Loaded_Language,772,786,"However, the US seems hell-bent on continuing to put its nose into other countries politics, including seeking to change its government while hypocritically pointing at other countries for trying to manipulate our own political system.",hypocritically,train,755459860
10,Black-and-White_Fallacy,4451,4468,"The behavior and the objectives of the regime are not going to change, and therefore the only solution is to change the regime itself.",the only solution,train,755459860
11,Flag-Waving,6123,6139,Where is that authorized in our Constitution?,our Constitution,train,755459860
12,Loaded_Language,7056,7068,The administration will now start aggressively moving to deal with the root cause of chaos and violence in the region in a clear-eyed way.”,aggressively,train,755459860
13,Appeal_to_Authority,7222,7241,"I don't doubt it.
T","I don't doubt it.
T",train,755459860
14,"Name_Calling,Labeling",7384,7390,"This will probably end up being another Ukraine situation, something we just don't need to be in, and yes, I know, I'll be called a liberal but honest readers who have followed me for some time know that's not the case.",honest,train,755459860
15,Black-and-White_Fallacy,8032,8157,"“Absent a change in government within Iran, America will face a choice between accepting a nuclear-armed Iran or acting to destroy as much of this capability as possible.”",America will face a choice between accepting a nuclear-armed Iran or acting to destroy as much of this capability as possible,train,755459860
16,"Name_Calling,Labeling",225,260,"Hey, remember five minutes ago when Pope Francis shouted at a reporter in Chile that there was “no evidence” supporting complaints against his good friend Bishop Juan Barros?",his good friend Bishop Juan Barros?,train,729578579
17,"Name_Calling,Labeling",368,403,"And, just for good measure he accused the people accusing him – victims of sexual abuse by Barros’ mentor, the convicted sex-predator Karadima – of committing “calumny”?",the convicted sex-predator Karadima,train,729578579
18,Loaded_Language,421,428,"And, just for good measure he accused the people accusing him – victims of sexual abuse by Barros’ mentor, the convicted sex-predator Karadima – of committing “calumny”?",calumny,train,729578579
19,Loaded_Language,509,513,[1] And remember when Cardinal O’Malley told the pope off in public over the “pain” these accusations had caused the victims of sexual abuse?,pain,train,729578579
